保险人,0.405110888
保险,0.399367188
被保险人,0.345796708
赔偿,0.287004951
责任,0.237569582
条款,0.204116809
损失,0.189787075
保险合同,0.167473421
发生,0.146408268
保险金,0.130381398
事故,0.129856023
投保人,0.124180209
约定,0.110730034
费用,0.094307656
保险费,0.087448274
应当,0.085382195
附加,0.084538054
保险单,0.083868054
或者,0.076923077
其他,0.075901843
承担,0.07589594
造成,0.069039509
标的,0.068071403
期间,0.067761492
有关,0.067371888
给付,0.064455765
负责,0.061799378
保险金额,0.060533166
为准,0.059355501
部分,0.055604092
财产,0.054346735
提供,0.054081096
合同,0.053228101
下列,0.051634268
任何,0.050872771
金额,0.050409379
通知,0.047581802
超过,0.046681582
限额,0.046300833
按照,0.045412419
履行,0.043054137
义务,0.042806208
由于,0.042142111
之日起,0.041923697
证明,0.04160493
the,0.040784402
原因,0.040692904
规定,0.04066634
载明,0.040527617
解除,0.039565415
确定,0.038800966
情况,0.038783256
支付,0.038765547
及时,0.038588455
导致,0.038337574
双方同意,0.038169336
包括,0.037933212
计算,0.037918455
范围,0.037398983
进行,0.035657574
请求,0.035205988
承保,0.034887221
价值,0.034394314
公司,0.032880173
条件,0.032461054
引起,0.03174383
以及,0.031543125
扩展,0.031469336
知道,0.031445724
行为,0.031271583
每次,0.031000041
资料,0.030197222
意外,0.028653566
受益人,0.028500085
属于,0.028275768
增加,0.027809425
内容,0.026923962
可以,0.026608147
索赔,0.026469425
法律,0.02626872
退还,0.026215592
上述,0.026073918
故意,0.025433434
相应,0.025398015
程度,0.025371451
货物,0.025356694
不能,0.025262244
of,0.025102861
同意,0.025002509
本合同,0.024952332
兹经,0.024798852
以本,0.024683742
比例,0.024580438
其它,0.024226253
残疾,0.024211496
要求,0.024193786
核定,0.02379828
工程,0.023568059
不得,0.023517883
除外,0.023219778
仲裁,0.023101716
如实,0.022924623
作出,0.02289806
告知,0.022552729
无法,0.022387443
必要,0.022334315
及其,0.021968324
根据,0.021938809
以上,0.021829602
对于,0.02182665
or,0.021670218
赔额,0.021484271
以下,0.021289469
遭受,0.021135989
有权,0.020952994
合理,0.020669646
直接,0.020666694
处理,0.020315461
身故,0.020274139
终止,0.020247575
协商,0.020094095
未尽,0.019973082
使用,0.019672025
设备,0.019612994
不变,0.01941524
爆炸,0.01926176
伤害,0.019155505
保单,0.018999073
特别,0.018928236
产生,0.018898721
实际,0.018780659
申请,0.018745241
相悖,0.018420571
变更,0.018391056
书面,0.018231672
必须,0.018222818
第三者,0.018045725
医疗,0.017960131
前款,0.017827311
解除合同,0.017809602
以主,0.017476078
受损,0.017434756
重大过失,0.017390483
开始,0.017172069
船舶,0.017151408
申请人,0.016968413
机构,0.016859205
材料,0.016738192
争议,0.01659947
订立,0.016575858
采取,0.016460747
适用,0.016378104
已经,0.016103611
减少,0.016065241
说明,0.015923567
安全,0.015657928
影响,0.015654977
投保,0.015271276
全部,0.014825593
死亡,0.014790175
权利,0.014636695
依法,0.014571761
累计,0.014554052
扣除,0.014427135
运输,0.014332686
如果,0.014179206
人身,0.014146739
凭证,0.01412903
施工,0.014096563
to,0.013931276
收到,0.013910615
提出,0.013757135
方式,0.013597752
最高,0.01351806
疾病,0.013467884
致使,0.013358677
相关,0.013314404
是否,0.013290792
有效,0.013104845
数额,0.013075329
火灾,0.013045814
治疗,0.013036959
免除,0.012998589
过程,0.01298088
保险条款,0.01286577
部门,0.012682774
核实,0.012564712
性质,0.012325638
所有,0.012281365
中华人民共和国,0.012006871
情形,0.011930131
丧失,0.011699911
损坏,0.011608413
协议,0.011596607
人员,0.011593655
财产损失,0.011552334
成立,0.011505109
主险,0.011363435
活动,0.011254228
危险,0.011207003
时间,0.011147973
洪水,0.011062378
指定,0.011032862
交付,0.010994492
伤亡,0.010956122
修复,0.010908898
出具,0.010908898
三十日,0.010846915
意外事故,0.010731805
依照,0.010622598
明细表,0.010475021
措施,0.010442554
驾驶,0.010398281
and,0.010392378
投保单,0.010380572
小时,0.010359911
作为,0.010345153
in,0.010238898
污染,0.010194625
保费,0.010129691
恢复,0.010106078
为限,0.010055902
取得,0.010049999
期限,0.010035241
雇员,0.010008677
文件,0.009958501
